Hour,Timestamp,Busyness Predicted,Taxi Zone ID
12,1690801200.0,-0.9054005816396172,127
13,1690804800.0,-0.9044002758522596,127
14,1690808400.0,-0.9066009485844457,127
15,1690812000.0,-0.9067009791631815,127
16,1690815600.0,-0.8971980741832861,127
17,1690819200.0,-0.8972981047620222,127
18,1690822800.0,-0.8790925394321177,127
19,1690826400.0,-0.8734908270229167,127
20,1690830000.0,-0.8736908881803883,127
21,1690833600.0,-0.8827936708453398,127
22,1690837200.0,-0.8799928146407396,127
23,1690840800.0,-0.8673023966235406,127
0,1690758000.0,-0.90485222337748,128
1,1690761600.0,-0.846619011862751,128
2,1690765200.0,-0.8440818368746102,128
3,1690768800.0,-0.8407808277763305,128
4,1690772400.0,-0.9050004593246743,128
5,1690776000.0,-0.9113023857850259,128
6,1690779600.0,-0.9159037924068688,128
7,1690783200.0,-0.9113196170531944,128
8,1690786800.0,-0.9184045568752631,128
9,1690790400.0,-0.9181044651390559,128
10,1690794000.0,-0.9181044651390559,128
11,1690797600.0,-0.9196049238200915,128
12,1690801200.0,-0.9189047097689415,128
13,1690804800.0,-0.9196049238200915,128
14,1690808400.0,-0.9199050155562988,128
15,1690812000.0,-0.920205107292506,128
16,1690815600.0,-0.9197049543988275,128
17,1690819200.0,-0.915103547776984,128
18,1690822800.0,-0.9152035783557197,128
19,1690826400.0,-0.9149034866195125,128
20,1690830000.0,-0.9145033643045697,128
21,1690833600.0,-0.9142032725683625,128
22,1690837200.0,-0.914803456040777,128
23,1690840800.0,-0.9171041593516983,128
0,1690758000.0,-0.6869337976807656,137
1,1690761600.0,-0.7898652631998401,137
2,1690765200.0,-0.8404807360401234,137
3,1690768800.0,-0.8518842220159972,137
4,1690772400.0,-0.8930968204551212,137
5,1690776000.0,-0.8699897567671656,137
6,1690779600.0,-0.7856639788929388,137
7,1690783200.0,-0.598415664545408,137
8,1690786800.0,-0.3869935821275404,137
9,1690790400.0,-0.4146027911559642,137
10,1690794000.0,-0.3207218489292292,137
11,1690797600.0,-0.25450160580617076,137
12,1690801200.0,-0.16367384031412072,137
13,1690804800.0,-0.1667747882549286,137
14,1690808400.0,-0.08705041700254552,137
15,1690812000.0,0.006678235272840825,137
16,1690815600.0,0.02128269976825855,137
17,1690819200.0,0.07629951807291441,137
18,1690822800.0,0.0662964601993406,137
19,1690826400.0,0.01458065099296409,137
20,1690830000.0,-0.19813161353028988,137
21,1690833600.0,-0.17222418610432727,137
22,1690837200.0,-0.3907189567635213,137
23,1690840800.0,-0.42514766187788294,137
0,1690758000.0,-0.497775973291485,140
1,1690761600.0,-0.7661283826284757,140
2,1690765200.0,-0.7765611962279868,140
3,1690768800.0,-0.8403807054613873,140
4,1690772400.0,-0.8510839773861119,140
5,1690776000.0,-0.7953669450303059,140
6,1690779600.0,-0.24377621219926407,140
7,1690783200.0,0.05509303538093805,140
8,1690786800.0,0.1467210455028737,140
9,1690790400.0,0.19863691586672166,140
10,1690794000.0,0.3901954741456598,140
11,1690797600.0,0.43430895936812025,140
12,1690801200.0,0.4333086535807629,140
13,1690804800.0,0.4227054122347747,140
14,1690808400.0,0.42320556512845325,140
15,1690812000.0,0.42270541223477454,140
16,1690815600.0,0.48082317848023826,140
17,1690819200.0,0.480423056165295,140
18,1690822800.0,0.4814233619526524,140
19,1690826400.0,0.5653490175119368,140
20,1690830000.0,0.33416060256373925,140
21,1690833600.0,0.2208338743562013,140
22,1690837200.0,0.03563632113337214,140
23,1690840800.0,-0.06665620874133456,140
0,1690758000.0,-0.3925283731927082,141
1,1690761600.0,-0.607009365270911,141
2,1690765200.0,-0.7415504936704786,141
3,1690768800.0,-0.8051699417464073,141
4,1690772400.0,-0.8107716541556093,141
5,1690776000.0,-0.7904654466722538,141
6,1690779600.0,-0.5208757330227132,141
7,1690783200.0,-0.2750600471242582,141
8,1690786800.0,-0.3069176290636974,141
9,1690790400.0,-0.28150986206481987,141
10,1690794000.0,-0.28050955627746255,141
11,1690797600.0,-0.2618038380538796,141
12,1690801200.0,-0.18738108747449064,141
13,1690804800.0,-0.07794763433759341,141
14,1690808400.0,-0.07564693102667144,141
15,1690812000.0,-0.05133950039388712,141
16,1690815600.0,-0.03443433258754744,141
17,1690819200.0,0.18323220674141827,141
18,1690822800.0,0.21894312335007673,141
19,1690826400.0,0.17332917944658024,141
20,1690830000.0,-0.047058670252707935,141
21,1690833600.0,-0.09625323024623339,141
22,1690837200.0,-0.060842405373782195,141
23,1690840800.0,-0.07839332561174736,141
0,1690758000.0,-0.1504966097289177,142
1,1690761600.0,-0.5240484303744785,142
2,1690765200.0,-0.6752302199686842,142
3,1690768800.0,-0.7640573738860197,142
4,1690772400.0,-0.7430509523515147,142
5,1690776000.0,-0.8131723880452671,142
6,1690779600.0,-0.5774003139651325,142
7,1690783200.0,-0.2254927379728066,142
8,1690786800.0,0.5982770946343908,142
9,1690790400.0,0.8037218866392002,142
10,1690794000.0,0.8122244858317379,142
11,1690797600.0,0.8307301428978491,142
12,1690801200.0,0.9900788548238804,142
13,1690804800.0,0.9829766837336428,142
14,1690808400.0,0.9841770506784718,142
15,1690812000.0,1.1865389114608693,142
16,1690815600.0,1.1564297072614123,142
17,1690819200.0,1.2678637719730235,142
18,1690822800.0,1.3397857580840196,142
19,1690826400.0,1.276966554637976,142
20,1690830000.0,1.061700749198668,142
21,1690833600.0,0.9657714241910959,142
22,1690837200.0,0.8904483984030855,142
23,1690840800.0,0.8097237213633445,142
0,1690758000.0,-0.04303696235882089,143
1,1690761600.0,-0.6535567344909352,143
2,1690765200.0,-0.7414504630917426,143
3,1690768800.0,-0.8368796352056365,143
4,1690772400.0,-0.8495835187050758,143
5,1690776000.0,-0.7903654160935187,143
6,1690779600.0,-0.6778310150158129,143
7,1690783200.0,-0.3796398598045789,143
8,1690786800.0,0.06329554283726849,143
9,1690790400.0,0.22674550849146427,143
10,1690794000.0,0.9626704762502878,143
11,1690797600.0,1.2105462503574462,143
12,1690801200.0,1.33858539113919,143
13,1690804800.0,1.3445872258633356,143
14,1690808400.0,1.4774278344243945,143
15,1690812000.0,1.4524201897404598,143
16,1690815600.0,1.4819292104675026,143
17,1690819200.0,2.0502029282652305,143
18,1690822800.0,2.1460322226940667,143
19,1690826400.0,2.110321306085408,143
20,1690830000.0,1.5022956275916421,143
21,1690833600.0,1.7705174301201072,143
22,1690837200.0,1.4826065179423582,143
23,1690840800.0,0.6550566543991033,143
0,1690758000.0,-0.8614871575746281,144
