Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
8,1691218800.0,0.11351282,186
9,1691222400.0,0.18285419,186
10,1691226000.0,0.27152455,186
11,1691229600.0,0.28510156,186
12,1691233200.0,0.28645352,186
13,1691236800.0,0.31203863,186
14,1691240400.0,0.301374,186
15,1691244000.0,0.2957286,186
16,1691247600.0,0.26952943,186
17,1691251200.0,0.24492879,186
18,1691254800.0,0.25612798,186
19,1691258400.0,0.19187504,186
20,1691262000.0,0.14384596,186
21,1691265600.0,0.10371386,186
22,1691269200.0,0.07489122,186
23,1691272800.0,0.089623176,186
0,1691190000.0,0.12866399,209
1,1691193600.0,0.07886946,209
2,1691197200.0,0.069464885,209
3,1691200800.0,0.07197352,209
4,1691204400.0,0.079359904,209
5,1691208000.0,0.097481474,209
6,1691211600.0,0.17913613,209
7,1691215200.0,0.3377588,209
8,1691218800.0,0.25507167,209
9,1691222400.0,0.28952563,209
10,1691226000.0,0.5619718,209
11,1691229600.0,0.6297115,209
12,1691233200.0,0.43063906,209
13,1691236800.0,0.4537306,209
14,1691240400.0,0.44555953,209
15,1691244000.0,0.44884124,209
16,1691247600.0,0.42366567,209
17,1691251200.0,0.40380955,209
18,1691254800.0,0.41500863,209
19,1691258400.0,0.32602537,209
20,1691262000.0,0.2426828,209
21,1691265600.0,0.17521864,209
22,1691269200.0,0.15919963,209
23,1691272800.0,0.14976886,209
0,1691190000.0,0.118235566,211
1,1691193600.0,0.10356311,211
2,1691197200.0,0.08288343,211
3,1691200800.0,0.08136485,211
4,1691204400.0,0.07447136,211
5,1691208000.0,0.06863977,211
6,1691211600.0,0.24250089,211
7,1691215200.0,0.29707727,211
8,1691218800.0,0.3531905,211
9,1691222400.0,0.4225319,211
10,1691226000.0,0.5129817,211
11,1691229600.0,0.5887429,211
12,1691233200.0,0.5236481,211
13,1691236800.0,0.5492332,211
14,1691240400.0,0.55123204,211
15,1691244000.0,0.5695158,211
16,1691247600.0,0.5428592,211
17,1691251200.0,0.4870077,211
18,1691254800.0,0.7616311,211
19,1691258400.0,0.4898637,211
20,1691262000.0,0.32788306,211
21,1691265600.0,0.2631214,211
22,1691269200.0,0.24814753,211
23,1691272800.0,0.28544924,211
0,1691190000.0,0.10769464,224
1,1691193600.0,0.09302217,224
2,1691197200.0,0.07234248,224
3,1691200800.0,0.07082389,224
4,1691204400.0,0.06393044,224
5,1691208000.0,0.062655635,224
6,1691211600.0,0.06839567,224
7,1691215200.0,0.06722097,224
8,1691218800.0,0.16728127,224
9,1691222400.0,0.23662265,224
10,1691226000.0,0.33312792,224
11,1691229600.0,0.3467049,224
12,1691233200.0,0.34805688,224
13,1691236800.0,0.373642,224
14,1691240400.0,0.36297736,224
15,1691244000.0,0.37852645,224
16,1691247600.0,0.35232735,224
17,1691251200.0,0.33247122,224
18,1691254800.0,0.3436703,224
19,1691258400.0,0.2794174,224
20,1691262000.0,0.20880468,224
21,1691265600.0,0.14246596,224
22,1691269200.0,0.11364338,224
23,1691272800.0,0.106406406,224
0,1691190000.0,0.12862985,229
1,1691193600.0,0.11441473,229
2,1691197200.0,0.09373505,229
3,1691200800.0,0.1519451,229
4,1691204400.0,0.14505164,229
5,1691208000.0,0.13697194,229
6,1691211600.0,0.12857099,229
7,1691215200.0,0.2707614,229
8,1691218800.0,0.6820598,229
9,1691222400.0,0.7514013,229
10,1691226000.0,0.914468,229
11,1691229600.0,1.0702676,229
12,1691233200.0,1.1138313,229
13,1691236800.0,1.1394163,229
14,1691240400.0,1.2393302,229
15,1691244000.0,1.2626026,229
16,1691247600.0,1.261505,229
17,1691251200.0,1.1032641,229
18,1691254800.0,1.1144631,229
19,1691258400.0,1.0051563,229
20,1691262000.0,0.82489556,229
21,1691265600.0,0.6244766,229
22,1691269200.0,0.547435,229
23,1691272800.0,0.5102598,229
0,1691190000.0,0.07989311,230
1,1691193600.0,0.065220654,230
2,1691197200.0,0.05032965,230
3,1691200800.0,0.042944297,230
4,1691204400.0,0.036050826,230
5,1691208000.0,0.030219212,230
6,1691211600.0,0.016164646,230
7,1691215200.0,-0.06456716,230
8,1691218800.0,0.011915473,230
9,1691222400.0,0.04829881,230
10,1691226000.0,0.12596537,230
11,1691229600.0,0.1395423,230
12,1691233200.0,0.113930956,230
13,1691236800.0,0.120497495,230
14,1691240400.0,0.10983283,230
15,1691244000.0,0.09954183,230
16,1691247600.0,0.06488529,230
17,1691251200.0,0.015398439,230
18,1691254800.0,0.026597504,230
19,1691258400.0,0.013471549,230
20,1691262000.0,0.008476581,230
21,1691265600.0,-0.018289257,230
22,1691269200.0,-0.023177803,230
23,1691272800.0,-0.004176713,230
0,1691190000.0,0.19409122,231
1,1691193600.0,0.17301756,231
2,1691197200.0,0.15233786,231
3,1691200800.0,0.14457208,231
4,1691204400.0,0.13767862,231
5,1691208000.0,0.13184701,231
6,1691211600.0,0.21669042,231
7,1691215200.0,0.26107803,231
8,1691218800.0,0.36113825,231
9,1691222400.0,0.3966998,231
10,1691226000.0,0.49015796,231
11,1691229600.0,0.50415635,231
12,1691233200.0,0.50501406,231
13,1691236800.0,0.57176036,231
14,1691240400.0,0.62382305,231
15,1691244000.0,0.64210665,231
16,1691247600.0,0.7297863,231
17,1691251200.0,0.6741096,231
18,1691254800.0,0.74196345,231
19,1691258400.0,0.68611187,231
20,1691262000.0,0.56885654,231
21,1691265600.0,0.40121642,231
22,1691269200.0,0.34492716,231
23,1691272800.0,0.33406898,231
0,1691190000.0,0.15442055,232
1,1691193600.0,0.13446729,232
2,1691197200.0,0.11378761,232
3,1691200800.0,0.110039145,232
4,1691204400.0,0.103145674,232
5,1691208000.0,0.067378506,232
6,1691211600.0,0.07311856,232
7,1691215200.0,0.06447826,232
8,1691218800.0,0.38363194,232
9,1691222400.0,0.4567626,232
10,1691226000.0,0.9471031,232
11,1691229600.0,1.0670433,232
12,1691233200.0,1.2978137,232
13,1691236800.0,1.3233988,232
14,1691240400.0,1.0038041,232
15,1691244000.0,1.0043693,232
16,1691247600.0,0.99026275,232
17,1691251200.0,0.9123019,232
18,1691254800.0,0.9384474,232
19,1691258400.0,0.811115,232
20,1691262000.0,0.5832667,232
21,1691265600.0,0.36886346,232
22,1691269200.0,0.3400409,232
23,1691272800.0,0.29600054,232
0,1691190000.0,0.16482121,233
1,1691193600.0,0.088262215,233
2,1691197200.0,0.06758251,233
3,1691200800.0,0.066063955,233
4,1691204400.0,0.05917049,233
5,1691208000.0,0.053338885,233
6,1691211600.0,0.04370762,233
7,1691215200.0,0.05493136,233
8,1691218800.0,0.15499164,233
9,1691222400.0,0.22433302,233
10,1691226000.0,0.33271894,233
11,1691229600.0,0.34250587,233
12,1691233200.0,0.34385785,233
13,1691236800.0,0.36944297,233
14,1691240400.0,0.35877833,233
15,1691244000.0,0.37432742,233
16,1691247600.0,0.34662715,233
17,1691251200.0,0.32677102,233
18,1691254800.0,0.3379701,233
19,1691258400.0,0.2737172,233
20,1691262000.0,0.20310454,233
21,1691265600.0,0.1383428,233
22,1691269200.0,0.10952022,233
23,1691272800.0,0.10228326,233
0,1691190000.0,0.12751883,234
1,1691193600.0,0.114320904,234
2,1691197200.0,0.08925089,234
3,1691200800.0,0.09013914,234
4,1691204400.0,0.07958574,234
5,1691208000.0,0.07375413,234
6,1691211600.0,0.079494156,234
7,1691215200.0,0.09071793,234
8,1691218800.0,0.17796387,234
9,1691222400.0,0.25432593,234
10,1691226000.0,0.52181506,234
11,1691229600.0,0.54391414,234
12,1691233200.0,0.5477598,234
13,1691236800.0,0.57085127,234
14,1691240400.0,0.58850294,234
15,1691244000.0,0.45018613,234
16,1691247600.0,0.42501056,234
17,1691251200.0,0.4208858,234
18,1691254800.0,0.4320849,234
19,1691258400.0,0.37710217,234
20,1691262000.0,0.25863233,234
21,1691265600.0,0.15787505,234
22,1691269200.0,0.11351189,234
23,1691272800.0,0.10627487,234
0,1691190000.0,0.039394874,236
1,1691193600.0,0.035010215,236
2,1691197200.0,0.020361463,236
3,1691200800.0,0.026837159,236
4,1691204400.0,0.016520971,236
5,1691208000.0,0.027142793,236
6,1691211600.0,0.020077167,236
7,1691215200.0,0.030227164,236
8,1691218800.0,0.14309312,236
9,1691222400.0,0.16585103,236
10,1691226000.0,0.24747065,236
11,1691229600.0,0.26007822,236
12,1691233200.0,0.2614302,236
13,1691236800.0,0.28701535,236
14,1691240400.0,0.27260095,236
15,1691244000.0,0.28815004,236
16,1691247600.0,0.2810694,236
17,1691251200.0,0.2971843,236
18,1691254800.0,0.20592135,236
19,1691258400.0,0.11643277,236
20,1691262000.0,0.09572913,236
21,1691265600.0,0.012700329,236
22,1691269200.0,0.00032539107,236
23,1691272800.0,-0.0069115665,236
0,1691190000.0,0.08833918,237
1,1691193600.0,0.07075435,237
2,1691197200.0,0.050074633,237
3,1691200800.0,0.08375325,237
4,1691204400.0,0.07685977,237
5,1691208000.0,0.10250054,237
6,1691211600.0,0.14759214,237
7,1691215200.0,0.2225122,237
8,1691218800.0,0.3055912,237
9,1691222400.0,0.3749326,237
10,1691226000.0,0.5831711,237
11,1691229600.0,0.596748,237
12,1691233200.0,0.4101616,237
13,1691236800.0,0.4303814,237
14,1691240400.0,0.41971675,237
15,1691244000.0,0.43526584,237
16,1691247600.0,0.34392363,237
17,1691251200.0,0.39330164,237
18,1691254800.0,0.5555464,237
19,1691258400.0,0.4108447,237
20,1691262000.0,0.36039925,237
21,1691265600.0,0.09158697,237
22,1691269200.0,0.06276436,237
23,1691272800.0,0.05552739,237
0,1691190000.0,0.26104614,238
1,1691193600.0,0.24637371,238
2,1691197200.0,0.22569403,238
3,1691200800.0,0.20104614,238
4,1691204400.0,0.19415268,238
5,1691208000.0,0.20297274,238
6,1691211600.0,0.21851002,238
7,1691215200.0,0.37117854,238
8,1691218800.0,0.4773993,238
9,1691222400.0,0.7929679,238
10,1691226000.0,0.9953545,238
